,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_period_by_year,num_services,charge_group
8297,m,0,No,Yes,5.0,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,103.94,519.7,Yes,0 - 1 year,3,High
8298,m,0,No,No,13.0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,33.65,437.45,Yes,1 - 2 year,3,Low
8299,f,0,Yes,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.82,653.12,No,1 - 2 year,1,Low
8300,m,1,No,No,12.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),21.55,258.6,Yes,0 - 1 year,2,Low
8301,f,0,Yes,Yes,42.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),97.84,4109.28,Yes,2 - 4 year,1,Medium
8302,f,0,Yes,No,37.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,19.02,703.74,No,2 - 4 year,3,Low
8303,f,0,unkown,No,13.0,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),64.49,838.37,Yes,1 - 2 year,2,Medium
8304,m,0,Yes,No,46.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),20.03,921.38,Yes,2 - 4 year,3,Low
8305,m,1,Yes,Yes,8.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,42.75,342.0,Yes,0 - 1 year,1,Low
8306,f,0,No,No,10.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,unkown,40.05,400.5,Yes,0 - 1 year,2,Low
8307,m,0,Yes,No,40.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,45.05,1802.0,Yes,2 - 4 year,3,Low
8308,m,0,No,Yes,7.0,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),37.57,262.99,No,0 - 1 year,2,Low
8309,f,0,No,Yes,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,68.1,136.2,Yes,0 - 1 year,1,Medium
8310,m,0,Yes,No,24.0,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),26.16,627.84,Yes,1 - 2 year,4,Low
8311,f,0,No,Yes,31.0,No,No phone service,DSL,No,No,No,No internet service,No,No,Month-to-month,No,Electronic check,42.23,1309.13,Yes,2 - 4 year,0,Low
8312,m,0,No,No,32.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,45.89,1468.48,Yes,2 - 4 year,3,Low
8313,f,0,Yes,No,10.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,21.7,0.0,No,0 - 1 year,3,Low
8314,m,1,Yes,No,31.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),49.66,1539.46,Yes,2 - 4 year,2,Low
8315,m,0,No,No,19.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,102.37,1945.03,No,1 - 2 year,1,High
8316,m,1,No,No,16.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),31.84,509.44,Yes,1 - 2 year,5,Low
8317,f,0,Yes,No,32.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.57,2322.24,Yes,2 - 4 year,1,Medium
8318,f,0,No,No,38.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.03,1369.14,No,2 - 4 year,2,Low
8319,m,0,No,No,7.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),101.92,713.0200000000001,Yes,0 - 1 year,1,High
8320,m,0,Yes,Yes,8.0,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,96.74,773.92,Yes,0 - 1 year,3,Medium
8321,f,0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,unkown,45.22,226.1,No,0 - 1 year,1,Low
8322,f,1,No,Yes,12.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,30.74,368.88,Yes,0 - 1 year,2,Low
8323,m,1,No,Yes,44.0,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),48.55,2136.2,No,2 - 4 year,3,Low
8324,f,0,No,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),37.28,111.84,No,0 - 1 year,1,Low
8325,f,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),30.9,30.9,No,0 - 1 year,4,Low
8326,f,0,unkown,No,28.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,38.14,1067.92,Yes,2 - 4 year,3,Low
8327,f,1,No,Yes,17.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.58,486.26800000000003,No,1 - 2 year,2,Low
8328,m,1,No,No,1.0,Yes,No,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),52.84,52.84,No,0 - 1 year,3,Medium
8329,f,0,No,No,31.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),22.24,689.44,No,2 - 4 year,5,Low
8330,f,0,No,No,13.0,Yes,No,Fiber optic,No,No,No internet service,No,No,No,One year,No,unkown,48.21,626.73,Yes,1 - 2 year,1,Low
8331,m,0,No,No,23.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.25,488.75,Yes,1 - 2 year,2,Low
8332,m,0,unkown,No,8.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.41,211.28,No,0 - 1 year,2,Low
8333,f,1,Yes,No,13.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),32.42,421.46,Yes,1 - 2 year,4,Low
8334,unkown,0,Yes,No,20.0,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,30.07,601.4,Yes,1 - 2 year,4,Low
8335,f,0,No,No,43.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),100.89,4338.27,No,2 - 4 year,4,High
8336,f,0,unkown,No,26.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.9,881.4,No,2 - 4 year,0,Low
8337,f,0,Yes,No,19.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.35,519.65,No,1 - 2 year,2,Low
8338,m,0,Yes,No,27.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.66,962.82,Yes,2 - 4 year,2,Low
8339,m,0,Yes,No,2.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,18.38,36.76,Yes,0 - 1 year,2,Low
8340,f,0,unkown,Yes,33.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),18.89,623.37,Yes,2 - 4 year,2,Low
8341,m,0,Yes,No,36.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.13,724.68,No,2 - 4 year,1,Low
8342,f,0,No,No,15.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),112.2,1683.0,No,1 - 2 year,3,High
8343,f,0,Yes,Yes,35.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,26.92,942.2,No,2 - 4 year,1,Low
8344,m,0,No,No,22.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.04,990.88,Yes,1 - 2 year,2,Low
8345,m,0,No,No,22.0,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,38.04,836.88,Yes,1 - 2 year,3,Low
8346,m,1,Yes,No,36.0,Yes,No,DSL,No,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,45.93,1653.48,No,2 - 4 year,1,Low
8347,m,0,No,No,5.0,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,108.04,540.2,Yes,0 - 1 year,2,High
8348,m,1,No,Yes,7.0,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,44.27,309.89,No,0 - 1 year,1,Low
8349,f,0,Yes,No,7.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),66.6,466.2,Yes,0 - 1 year,2,Medium
8350,f,0,No,No,23.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),38.49,885.27,Yes,1 - 2 year,4,Low
8351,f,0,Yes,Yes,37.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.21,1561.77,Yes,2 - 4 year,1,Low
8352,m,0,No,No,6.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,40.52,243.12,Yes,0 - 1 year,1,Low
8353,m,1,unkown,No,18.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),53.74,967.32,No,1 - 2 year,1,Medium
8354,m,0,No,No,8.0,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,24.94,199.52,No,0 - 1 year,3,Low
8355,f,0,Yes,Yes,34.0,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No,Two year,No,Electronic check,84.5,2873.0,No,2 - 4 year,2,Medium
8356,m,0,No,Yes,44.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),38.76,1705.44,No,2 - 4 year,4,Low
8357,f,0,No,Yes,38.0,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),55.45,2107.1,Yes,2 - 4 year,3,Medium
8358,f,0,No,No,15.0,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Credit card (automatic),32.56,488.4,No,1 - 2 year,1,Low
8359,m,0,No,No,12.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.33,879.96,No,0 - 1 year,2,Medium
8360,m,1,No,Yes,44.0,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,21.31,937.64,No,2 - 4 year,1,Low
8361,m,0,No,Yes,30.0,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,No,Credit card (automatic),32.79,983.7,Yes,2 - 4 year,2,Low
8362,m,0,Yes,No,999.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,20.11,20089.89,Yes,4+ years,3,Low
8363,m,0,No,No,14.0,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,46.93,657.02,No,1 - 2 year,3,Low
8364,m,0,Yes,No,11.0,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),73.29,806.19,Yes,0 - 1 year,4,Medium
8365,m,0,No,No,18.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),99.06,1783.08,No,1 - 2 year,2,Medium
8366,m,0,No,No,37.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.44,756.28,Yes,2 - 4 year,2,Low
8367,m,0,Yes,No,8.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),46.42,371.36,Yes,0 - 1 year,1,Low
8368,f,1,No,No,38.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),29.37,1116.06,No,2 - 4 year,4,Low
8369,f,1,Yes,Yes,36.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,106.13,3820.68,Yes,2 - 4 year,2,High
8370,m,1,No,No,23.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,33.89,779.47,Yes,1 - 2 year,5,Low
8371,f,0,Yes,No,10.0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,23.84,238.4,No,0 - 1 year,4,Low
8372,m,0,No,No,30.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),28.89,866.7,Yes,2 - 4 year,2,Low
8373,m,1,No,Yes,12.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.29,363.48,Yes,0 - 1 year,2,Low
8374,f,0,No,No,41.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.23,788.43,No,2 - 4 year,2,Low
8375,f,0,No,Yes,6.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,unkown,44.99,269.94,No,0 - 1 year,2,Low
8376,m,0,No,No,7.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),41.79,292.53,Yes,0 - 1 year,5,Low
8377,unkown,0,No,No,3.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,79.23,237.69,No,0 - 1 year,3,Medium
8378,m,0,No,No,14.0,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.21,310.94,Yes,1 - 2 year,0,Low
8379,f,0,Yes,Yes,9.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),72.9,656.1,Yes,0 - 1 year,1,Medium
8380,m,1,Yes,No,2.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,47.4,94.8,Yes,0 - 1 year,4,Low
8381,unkown,0,No,No,13.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,66.3,861.9,No,1 - 2 year,4,Medium
8382,f,0,No,No,15.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),32.6,489.0,Yes,1 - 2 year,5,Low
8383,f,0,Yes,No,6.0,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),49.35,296.1,No,0 - 1 year,3,Low
8384,f,1,No,No,43.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),25.28,1087.04,Yes,2 - 4 year,2,Low
8385,f,0,No,No,22.0,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,48.23,1061.06,No,1 - 2 year,1,Low
8386,f,0,No,Yes,40.0,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,unkown,29.66,1186.4,Yes,2 - 4 year,3,Low
8387,f,1,unkown,Yes,24.0,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,42.38,1017.12,No,1 - 2 year,2,Low
8388,m,0,No,No,9.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),33.71,303.39,Yes,0 - 1 year,2,Low
8389,unkown,1,No,No,32.0,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.25,1512.0,Yes,2 - 4 year,1,Low
8390,m,1,No,Yes,22.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),36.4,800.8,No,1 - 2 year,5,Low
8391,m,0,Yes,Yes,43.0,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,40.18,1727.74,Yes,2 - 4 year,2,Low
8392,unkown,0,Yes,No,43.0,Yes,unkown,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),92.67,3984.81,No,2 - 4 year,2,Medium
8393,f,0,Yes,No,5.0,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),31.01,155.05,Yes,0 - 1 year,2,Low
8394,m,1,No,Yes,24.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,108.98,2615.52,No,1 - 2 year,4,High
8395,m,0,Yes,No,26.0,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),18.08,470.08,No,2 - 4 year,1,Low
8396,m,0,No,No,20.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),41.93,838.6,Yes,1 - 2 year,3,Low
8397,f,0,No,Yes,15.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,114.39,1715.85,No,1 - 2 year,2,High
8398,f,0,Yes,No,23.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),38.1,876.3,Yes,1 - 2 year,5,Low
8399,m,0,No,No,72.0,Yes,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),45.61,3283.92,No,4+ years,1,Low
8400,f,0,Yes,No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.37,760.58,Yes,2 - 4 year,4,Low
8401,f,0,Yes,No,20.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.25,505.0,Yes,1 - 2 year,1,Low
8402,f,0,Yes,No,8.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,unkown,38.06,304.48,No,0 - 1 year,1,Low
8403,f,0,No,No,12.0,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,31.41,376.92,Yes,0 - 1 year,3,Low
8404,f,0,No,Yes,15.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,unkown,100.7,1510.5,No,1 - 2 year,4,High
8405,f,0,No,No,41.0,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,Yes,Electronic check,18.07,740.87,Yes,2 - 4 year,2,Low
8406,m,0,No,No,4.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),52.03,208.12,Yes,0 - 1 year,1,Medium
8407,f,0,No,Yes,26.0,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Mailed check,61.53,1599.78,Yes,2 - 4 year,2,Medium
8408,f,0,unkown,No,2.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,110.93,221.86,No,0 - 1 year,4,High
8409,f,0,No,Yes,24.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),29.87,716.88,Yes,1 - 2 year,3,Low
8410,m,0,Yes,No,22.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,52.45,1153.9,No,1 - 2 year,4,Medium
8411,f,1,unkown,No,7.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,22.29,156.03,No,0 - 1 year,2,Low
8412,f,0,No,No,37.0,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,47.49,1757.13,No,2 - 4 year,2,Low
8413,f,0,Yes,No,36.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),38.03,1369.08,Yes,2 - 4 year,1,Low
8414,f,1,Yes,Yes,8.0,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,No,Credit card (automatic),20.3,162.4,No,0 - 1 year,4,Low
8415,f,0,Yes,No,11.0,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,110.56,1216.16,No,0 - 1 year,1,High
8416,m,0,No,No,5.0,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,No,unkown,34.43,172.15,Yes,0 - 1 year,3,Low
8417,f,1,No,No,45.0,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),45.06,2027.7,Yes,2 - 4 year,4,Low
8418,m,0,Yes,Yes,9.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,73.19,658.71,Yes,0 - 1 year,1,Medium
8419,m,0,No,No,35.0,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No internet service,One year,No,Electronic check,32.87,1150.45,No,2 - 4 year,2,Low
8420,f,0,Yes,Yes,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),96.92,1163.04,Yes,0 - 1 year,1,Medium
8421,m,0,Yes,Yes,45.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,94.68,4260.6,Yes,2 - 4 year,4,Medium
8422,m,0,Yes,No,7.0,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,47.23,330.61,No,0 - 1 year,3,Low
8423,f,0,Yes,No,27.0,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No,Two year,No,Electronic check,41.92,1131.84,No,2 - 4 year,3,Low
8424,m,0,No,Yes,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.3,993.3,Yes,0 - 1 year,3,Medium
8425,m,0,No,No,24.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),66.2,1588.8,Yes,1 - 2 year,2,Medium
8426,f,1,No,No,13.0,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),61.87,804.31,No,1 - 2 year,2,Medium
8427,m,0,Yes,No,24.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,34.88,837.12,No,1 - 2 year,4,Low
8428,m,0,No,Yes,33.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),89.65,2958.45,No,2 - 4 year,2,Medium
8429,f,0,Yes,No,5.0,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),40.76,203.8,Yes,0 - 1 year,2,Low
8430,f,0,No,No,48.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,32.98,1583.04,Yes,2 - 4 year,3,Low
8431,m,0,Yes,No,40.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),63.66,2546.4,No,2 - 4 year,1,Medium
8432,f,0,Yes,No,37.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,68.73,2543.01,No,2 - 4 year,2,Medium
8433,m,0,unkown,No,17.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.25,1602.25,Yes,1 - 2 year,4,Medium
8434,m,1,No,No,61.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),32.72,1995.92,Yes,4+ years,3,Low
8435,f,0,Yes,Yes,48.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),42.15,2023.2,Yes,2 - 4 year,4,Low
8436,m,1,Yes,No,41.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,76.07,3118.87,No,2 - 4 year,2,Medium
8437,f,0,No,No,31.0,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.48,1471.88,No,2 - 4 year,3,Low
8438,f,1,No,No,11.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,49.47,544.17,No,0 - 1 year,2,Low
8439,unkown,0,Yes,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.19,991.79,No,2 - 4 year,1,Low
8440,f,0,Yes,Yes,11.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.8,316.8,Yes,0 - 1 year,3,Low
8441,m,0,Yes,No,4.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.71,134.84,No,0 - 1 year,0,Low
8442,f,0,No,No,46.0,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,27.7,1274.2,No,2 - 4 year,1,Low
8443,f,1,Yes,No,2.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.23,58.46,Yes,0 - 1 year,2,Low
8444,m,0,unkown,No,4.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.59,186.36,Yes,0 - 1 year,1,Low
8445,m,0,Yes,Yes,48.0,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,22.22,1066.56,No,2 - 4 year,2,Low
8446,f,0,No,No,26.0,Yes,No,DSL,No,No,No internet service,No,No,No,Two year,No,Electronic check,34.98,909.48,No,2 - 4 year,1,Low
8447,f,0,Yes,No,20.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.77,975.4,No,1 - 2 year,2,Low
8448,f,0,No,No,1.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,81.05,81.05,No,0 - 1 year,0,Medium
8449,m,0,Yes,No,36.0,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),38.1,1371.6,No,2 - 4 year,1,Low
8450,m,0,No,No,34.0,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,36.49,1240.66,Yes,2 - 4 year,1,Low
8451,m,0,Yes,No,51.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,19.6,999.6,Yes,4+ years,3,Low
8452,m,0,No,Yes,19.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,45.11,857.09,No,1 - 2 year,2,Low
